shipping_group,shipping_group_code,n_products,median_loaded_weight,max_loaded_weight,dest_province,region,km_median,total_cost
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,کهگیلویه و بویراحمد,جنوب,888.0,1330.1627696866756
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,گلستان,شمال,521.0,780.4220754580608
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,گیلان,شمال,392.5,587.9379359256984
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,یزد,شرق,623.0,933.2110422463951
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,آذربایجان شرقی,غرب,696.0,1060.6500690583275
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,آذربایجان غربی,غرب,803.5,1224.4717392074226
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,اردبیل,غرب,698.0,1063.6979140843573
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,اصفهان,مرکز,430.0,655.2866805963805
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,ایلام,غرب,644.0,981.4060983815559
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,بوشهر,جنوب,1019.0,1552.8770407621203
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,خراسان جنوبی,شرق,1033.0,1574.211955944328
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,خراسان رضوی,شرق,894.0,1362.3867266352654
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,خراسان شمالی,شرق,700.0,1066.7457591103869
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,خوزستان,جنوب,774.0,1179.5160250734848
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,زنجان,غرب,353.0,537.944647094238
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,سمنان,شرق,282.0,429.7461486701844
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,سیستان و بلوچستان,شرق,1647.5,2510.6623401919464
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,فارس,جنوب,932.0,1420.2957821298294
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,قزوین,شمال,199.0,303.26058008995284
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,قم,مرکز,128.0,195.0620816658993
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,لرستان,مرکز,414.5,631.6658816446505
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,مازندران,شمال,231.0,352.02610050642767
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,مرکزی,مرکز,249.0,379.45670574069476
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,هرمزگان,جنوب,1261.0,1921.6662889117113
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,همدان,مرکز,299.5,456.41479264794407
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,چهار محال بختیاری,جنوب,531.5,809.9648156673866
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,کردستان,غرب,485.0,739.1024188121967
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,کرمان,شرق,968.0,1475.1569925983636
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,کرمانشاه,غرب,479.0,729.9588837341075
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,کهگیلویه و بویراحمد,جنوب,888.0,1353.2431915571765
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,گلستان,شمال,521.0,793.9636292807309
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,گیلان,شمال,392.5,598.1395863583241
" TV(51""-65"")",241005,639,1.5239225130148384,2.0,یزد,شرق,623.0,949.4037256082443
" TV(>65"")",241006,223,1.3542707369719396,2.0,آذربایجان شرقی,غرب,696.0,942.57243293247
" TV(>65"")",241006,223,1.3542707369719396,2.0,آذربایجان غربی,غرب,803.5,1088.1565371569534
" TV(>65"")",241006,223,1.3542707369719396,2.0,اردبیل,غرب,698.0,945.2809744064139
" TV(>65"")",241006,223,1.3542707369719396,2.0,اصفهان,مرکز,430.0,582.336416897934
" TV(>65"")",241006,223,1.3542707369719396,2.0,ایلام,غرب,644.0,872.1503546099291
" TV(>65"")",241006,223,1.3542707369719396,2.0,بوشهر,جنوب,1019.0,1380.0018809744065
