shipping_group,shipping_group_code,product_code,product_name,product_group,volume_m3,weight_ton,quantity_by_volume,quantity_by_weight,final_qty,loaded_weight_ton,limiting_factor
 AV Vid & Aud,241011,095510005122,Soundbar-SH7Q,Audio System,0.16625,0.01,111.27819548872179,200.0,111.27819548872179,1.112781954887218,volume
 AV Vid & Aud,241011,095510005123,Soundbar-S75QR,Audio System,0.118675,0.013,155.88792921845376,153.84615384615384,153.84615384615384,1.9999999999999998,weight
 AV Vid & Aud,241011,095510005124,Speaker-XG9QBK,Audio System,0.054351,0.005,340.38012180088685,400.0,340.38012180088685,1.7019006090044344,volume
 AV Vid & Aud,241011,095510005125,Harman Kardon Aura Studio 3 Wireless BT Speaker (Black),Audio System,0.02668,0.004,693.4032983508246,500.0,500.0,2.0,weight
 AV Vid & Aud,241011,095510005126,JBL-CHARGE 5-BLACK,Audio System,0.00406,0.0016,4556.6502463054185,1250.0,1250.0,2.0,weight
 AV Vid & Aud,241011,095510005127,JBL-CHARGE 5-BLUE,Audio System,0.00406,0.0016,4556.6502463054185,1250.0,1250.0,2.0,weight
 AV Vid & Aud,241011,095510005128,Soundbar-SQC1,Audio System,0.07038,0.01,262.85876669508383,200.0,200.0,2.0,weight
 AV Vid & Aud,241011,095510005129,Harman Kardon Onyx studio8 Black,Audio System,0.017457,0.0,1059.7468064386778,inf,1059.7468064386778,0.0,volume
 AV Vid & Aud,241011,095911111111,GPA-MB560N,Audio System,0.075684,0.0085,244.43739760054964,235.2941176470588,235.2941176470588,2.0,weight
 AV Vid & Aud,241011,095911111112,GPA-MN8071N,Audio System,0.254035,0.015,72.82461078197886,133.33333333333334,72.82461078197886,1.092369161729683,volume
 AV Vid & Aud,241011,095911111113,GPA-MB850N,Audio System,0.08778,0.0,210.75415812257918,inf,210.75415812257918,0.0,volume
 AV Vid & Aud,241011,095911112111,GSO-M625SN,Audio System,0.10296,0.01,179.68142968142968,200.0,179.68142968142968,1.7968142968142968,volume
 AV Vid & Aud,241011,095911112112,GSO-M6315HN,Audio System,0.178602,0.01,103.58226671593823,200.0,103.58226671593823,1.0358226671593824,volume
 AV Vid & Aud,241011,097001120122,WBS040BPW,Audio System,0.0015,0.0,12333.333333333334,inf,12333.333333333334,0.0,volume
 AV Vid & Aud,241011,097001120125,HPS-A090BW,HC,0.00882,0.0,2097.5056689342405,inf,2097.5056689342405,0.0,volume
 AV Vid & Aud,241011,097024530111,PHU450WN,Audio System,0.126684,0.0,146.03264816393548,inf,146.03264816393548,0.0,volume
 AV Vid & Aud,241011,097081110111,ARX10,Audio System,0.3654,0.0,50.62944718117132,inf,50.62944718117132,0.0,volume
 AV Vid & Aud,241011,097081110112,ARX8,Audio System,0.315168,0.0,58.69885267539852,inf,58.69885267539852,0.0,volume
 AV Vid & Aud,241011,097081110113,BD750,Audio System,0.00899,0.0,2057.842046718576,inf,2057.842046718576,0.0,volume
 AV Vid & Aud,241011,097081110114,BD760,Audio System,0.010621,0.0,1741.8322191884004,inf,1741.8322191884004,0.0,volume
 AV Vid & Aud,241011,097081110115,BP450-P,Audio System,0.00792,0.0,2335.8585858585857,inf,2335.8585858585857,0.0,volume
 AV Vid & Aud,241011,097081110116,CJ98,Audio System,0.33696,0.0,54.902659069325736,inf,54.902659069325736,0.0,volume
 AV Vid & Aud,241011,097081110117,CM9750,Audio System,0.27648,0.0,66.91261574074073,inf,66.91261574074073,0.0,volume
 AV Vid & Aud,241011,097081110118,CM9760,Audio System,0.32589,0.0,56.76762097640308,inf,56.76762097640308,0.0,volume
 AV Vid & Aud,241011,097081110119,DV-4590PM,Audio System,0.00864,0.0,2141.2037037037035,inf,2141.2037037037035,0.0,volume
 AV Vid & Aud,241011,097081110120,DV-5590PM,Audio System,0.0081,0.0,2283.9506172839506,inf,2283.9506172839506,0.0,volume
 AV Vid & Aud,241011,097081110121,FH2,Audio System,0.07659,0.0,241.54589371980674,inf,241.54589371980674,0.0,volume
 AV Vid & Aud,241011,097081110122,LH-110SPK,Audio System,0.09729,0.0,190.15315037516703,inf,190.15315037516703,0.0,volume
 AV Vid & Aud,241011,097081110123,LH-130SPK,Audio System,0.088358,0.0,209.37549514475202,inf,209.37549514475202,0.0,volume
 AV Vid & Aud,241011,097081110124,LH-140SPK,Audio System,0.157638,0.0,117.35748994531775,inf,117.35748994531775,0.0,volume
 AV Vid & Aud,241011,097081110125,LH-358HTS,Audio System,0.162656,0.0,113.73696635844973,inf,113.73696635844973,0.0,volume
 AV Vid & Aud,241011,097081110126,LH-369XBH,Audio System,0.262656,0.0,70.43433235867447,inf,70.43433235867447,0.0,volume
 AV Vid & Aud,241011,097081110127,LH-880XBH,Audio System,1.197875,0.0,15.444015444015443,inf,15.444015444015443,0.0,volume
 AV Vid & Aud,241011,097081110128,LH-920HTS,Audio System,0.128896,0.0,143.52656405163853,inf,143.52656405163853,0.0,volume
 AV Vid & Aud,241011,097081110129,LH-930HTS,Audio System,0.109263,0.0,169.31623696951394,inf,169.31623696951394,0.0,volume
 AV Vid & Aud,241011,097081110130,LH-947SPK,Audio System,0.0972,0.0,190.32921810699588,inf,190.32921810699588,0.0,volume
 AV Vid & Aud,241011,097081110131,LH-960XBH,Audio System,0.15048,0.0,122.93992557150452,inf,122.93992557150452,0.0,volume
 AV Vid & Aud,241011,097081110132,LH-960XBH,Audio System,0.15048,0.0,122.93992557150452,inf,122.93992557150452,0.0,volume
 AV Vid & Aud,241011,097081110133,LH-975XBH,Audio System,0.18538,0.0,99.795015643543,inf,99.795015643543,0.0,volume
 AV Vid & Aud,241011,097081110134,LH-985XBH,Audio System,0.22231,0.0,83.21712923395259,inf,83.21712923395259,0.0,volume
 AV Vid & Aud,241011,097081110135,LH-K938HTS,Audio System,0.14196,0.0,130.3183995491688,inf,130.3183995491688,0.0,volume
 AV Vid & Aud,241011,097081110136,LH-KW968HTS,Audio System,0.160605,0.0,115.18943993026369,inf,115.18943993026369,0.0,volume
 AV Vid & Aud,241011,097081110137,LH-W359HTS,Audio System,0.16416,0.0,112.69493177387915,inf,112.69493177387915,0.0,volume
 AV Vid & Aud,241011,097081110138,LH-W895XBH,Audio System,0.394002,0.0,46.95407637524682,inf,46.95407637524682,0.0,volume
 AV Vid & Aud,241011,097081110139,NP8540-M0,Audio System,0.000702,0.0,26353.276353276353,inf,26353.276353276353,0.0,volume
 AV Vid & Aud,241011,097081110140,OJ98,Audio System,0.257278,0.0,71.90665350321441,inf,71.90665350321441,0.0,volume
 AV Vid & Aud,241011,097081110141,OM4560,Audio System,0.075924,0.0,243.66471734892787,inf,243.66471734892787,0.0,volume
 AV Vid & Aud,241011,097081110142,OM7560,Audio System,0.1296,0.0,142.7469135802469,inf,142.7469135802469,0.0,volume
 AV Vid & Aud,241011,097081110143,PH1,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110144,PH1L,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110145,PH1R,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110146,PH2,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110147,PH2R,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110148,PH4,Audio System,0.0013,0.0,14230.769230769232,inf,14230.769230769232,0.0,volume
 AV Vid & Aud,241011,097081110149,SJ3,Audio System,0.06864,0.0,269.5221445221445,inf,269.5221445221445,0.0,volume
 AV Vid & Aud,241011,097081110150,SJ5,Audio System,0.06864,0.0,269.5221445221445,inf,269.5221445221445,0.0,volume
 AV Vid & Aud,241011,097081110151,SJ5B,Audio System,0.06864,0.0,269.5221445221445,inf,269.5221445221445,0.0,volume
 AV Vid & Aud,241011,097081110152,SJ8,Audio System,0.103378,0.0,178.9549033643522,inf,178.9549033643522,0.0,volume
 AV Vid & Aud,241011,097081110153,SJ9,Audio System,0.222264,0.0,83.23435194183494,inf,83.23435194183494,0.0,volume
